type,name,url,poster_url,description,rating,genre,datePublished,keywords,duration,actors,director,creator
TVSeries,The Walking Dead,https://www.imdb.com/title/tt1520211/,https://m.media-amazon.com/images/M/MV5BNDM2OTA1NzIzMV5BMl5BanBnXkFtZTgwOTkxMTk5NjM@._V1_.jpg,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,8.1,Drama | Horror | Thriller,2017-10-24,"zombie,survival,post apocalypse,based on comic,zombie apocalypse",,Andrew Lincoln | Norman Reedus | Melissa McBride,,Frank Darabont
TVSeries,Blue Bloods,https://www.imdb.com/title/tt1595859/,https://m.media-amazon.com/images/M/MV5BMjY0NTE1ODU3OV5BMl5BanBnXkFtZTgwOTI4NDQwMDI@._V1_.jpg,Revolves around a family of New York cops.,7.7,Crime | Drama | Mystery,2016-09-15,"new york police department,family relationships,brother brother relationship,father daughter relationship,family of cops",,Donnie Wahlberg | Bridget Moynahan | Will Estes,,Mitchell Burgess | Robin Green
Movie,Inception,https://www.imdb.com/title/tt1375666/,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_.jpg,,8.8,Action | Adventure | Sci-Fi,2010-07-16,"dream,ambiguous ending,subconscious,mindbender,surprise ending",PT2H28M,Leonardo DiCaprio | Joseph Gordon-Levitt | Elliot Page,Christopher Nolan,Christopher Nolan
TVSeries,Hawaii Five-0,https://www.imdb.com/title/tt1600194/,https://m.media-amazon.com/images/M/MV5BOGMxNDUxMzMtNTgwZS00ZjVlLTkyNmUtNGEzYzQ0YjY3OTAxXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_.jpg,"When Steve McGarrett returns home to Oahu to find his father's killer, the Governor offers him the chance to run his own task force: Five-0.",7.4,Action | Crime | Drama,2010-09-20,"teamwork,police,hawaii,remake,police protagonist",,Alex O'Loughlin | Scott Caan | Taylor Wily,,Peter M. Lenkov | Alex Kurtzman | Leonard Freeman
Movie,Black Swan,https://www.imdb.com/title/tt0947798/,https://m.media-amazon.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_.jpg,,8,Drama | Thriller,2011-02-25,"ballerina,ballet,female protagonist,mental illness,mother daughter relationship",PT1H48M,Natalie Portman | Mila Kunis | Vincent Cassel,Darren Aronofsky,Mark Heyman | Andres Heinz | John J. McLaughlin
Movie,Insidious,https://www.imdb.com/title/tt1591095/,https://m.media-amazon.com/images/M/MV5BMTYyOTAxMDA0OF5BMl5BanBnXkFtZTcwNzgwNTc1NA@@._V1_.jpg,A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,6.8,Horror | Mystery | Thriller,2011-04-01,"boy,house,coma,baby,demon",PT1H43M,Patrick Wilson | Rose Byrne | Ty Simpkins,James Wan,Leigh Whannell
Movie,Scott Pilgrim vs. the World,https://www.imdb.com/title/tt0446029/,https://m.media-amazon.com/images/M/MV5BNWI5ODc4MTAtN2U2NC00ZDk3LWE3NjAtNjIyODE2YTlhYjYwXkEyXkFqcGdeQXVyOTA3ODI3NDA@._V1_.jpg,"In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",7.5,Action | Comedy | Fantasy,2019-01-17,"music concert,dream girl,rock band,cult film,ex girlfriend ex girlfriend relationship",PT1H52M,Michael Cera | Mary Elizabeth Winstead | Kieran Culkin,Edgar Wright,Michael Bacall | Edgar Wright | Bryan Lee O'Malley
TVSeries,Spartacus: Blood and Sand,https://www.imdb.com/title/tt1442449/,https://m.media-amazon.com/images/M/MV5BZWQ4MjA2YzEtOTQzYi00NWQ1LWI0ZDEtN2VkZjhmYTc3MzU0XkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_.jpg,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",8.5,Action | Adventure | Biography,2017-10-04,"gladiator,gay,slave,roman army,female nudity",,Andy Whitfield | Lucy Lawless | Manu Bennett,,Steven S. DeKnight
Movie,Shutter Island,https://www.imdb.com/title/tt1130884/,https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",8.2,Mystery | Thriller,2010-06-04,"surprise ending,neo noir,medical experiment,cave,self delusion",PT2H18M,Leonardo DiCaprio | Emily Mortimer | Mark Ruffalo,Martin Scorsese,Laeta Kalogridis | Dennis Lehane
TVSeries,Pretty Little Liars,https://www.imdb.com/title/tt1578873/,https://m.media-amazon.com/images/M/MV5BMTU5MDYzMzQ2Nl5BMl5BanBnXkFtZTgwMDE3MzU4MTI@._V1_.jpg,"Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while also investigating the disappearance of their best friend.",7.4,Drama | Mystery | Romance,2010-06-08,"murder,stalker,torture,kidnapping,secret",,Troian Bellisario | Ashley Benson | Lucy Hale,,I. Marlene King
Movie,The Town,https://www.imdb.com/title/tt0840361/,https://m.media-amazon.com/images/M/MV5BMTcyNzcxODg3Nl5BMl5BanBnXkFtZTcwMTUyNjQ3Mw@@._V1_.jpg,"A proficient group of thieves rob a bank and hold Claire, the assistant manager, hostage. Things begin to get complicated when one of the crew members falls in love with Claire.",7.5,Crime | Drama | Thriller,2010-10-15,"bank robbery,criminal gang,heist,bank manager,hostage",PT2H5M,Ben Affleck | Rebecca Hall | Jon Hamm,Ben Affleck,Peter Craig | Ben Affleck | Aaron Stockard
Movie,The Social Network,https://www.imdb.com/title/tt1285016/,https://m.media-amazon.com/images/M/MV5BOGUyZDUxZjEtMmIzMC00MzlmLTg4MGItZWJmMzBhZjE0Mjc1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.",7.8,Biography | Drama,2010-11-12,"facebook,young entrepreneur,based on real person,intellectual property,entrepreneur",PT2H,Jesse Eisenberg | Andrew Garfield | Justin Timberlake,David Fincher,Aaron Sorkin | Ben Mezrich
TVSeries,Rizzoli & Isles,https://www.imdb.com/title/tt1551632/,https://m.media-amazon.com/images/M/MV5BMjMzNzI1MjQ1MV5BMl5BanBnXkFtZTgwNjY2NDY3NTE@._V1_.jpg,Detective Jane Rizzoli and Chief Medical Examiner Dr. Maura Isles team up to solve crimes in Boston.,7.6,Crime | Drama | Mystery,2011-10-01,"friendship,female coroner,female protagonist,boston massachusetts,female detective",,Angie Harmon | Sasha Alexander | Jordan Bridges,,Janet Tamaro
TVSeries,Adventure Time,https://www.imdb.com/title/tt1305826/,https://m.media-amazon.com/images/M/MV5BMGFkNGY4NGMtZjY0NC00YTI0LThiZjMtMjBmZGMzOGU3YTdmXkEyXkFqcGdeQXVyMTM0NTUzNDIy._V1_.jpg,"A twelve-year-old boy and his best friend, a wise twenty-eight-year-old dog with magical powers, go on a series of surreal adventures in a remote future.",8.6,Animation | Action | Adventure,2010-04-05,"boy,dog,sword,best friends,jake the dog character",,John DiMaggio | Jeremy Shada | Tom Kenny,,Pendleton Ward
Movie,Knight and Day,https://www.imdb.com/title/tt1013743/,https://m.media-amazon.com/images/M/MV5BMTM0Mzg0MzI3Ml5BMl5BanBnXkFtZTcwNjIyNzk1Mw@@._V1_.jpg,,6.3,Action | Adventure | Comedy,2010-07-09,"woman wears a bikini,snow adventure,cell phone trace,woman punches a man,aircraft cockpit",PT1H49M,Tom Cruise | Cameron Diaz | Peter Sarsgaard,James Mangold,Patrick O'Neill
Movie,How to Train Your Dragon,https://www.imdb.com/title/tt0892769/,https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_.jpg,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",8.1,Animation | Action | Adventure,2010-04-16,"dragon,viking,father son relationship,village,island",PT1H38M,Jay Baruchel | Gerard Butler | Christopher Mintz-Plasse,Dean DeBlois | Chris Sanders,Will Davies | Dean DeBlois | Chris Sanders
Movie,Grown Ups,https://www.imdb.com/title/tt1375670/,https://m.media-amazon.com/images/M/MV5BMjA0ODYwNzU5Nl5BMl5BanBnXkFtZTcwNTI1MTgxMw@@._V1_.jpg,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",5.9,Comedy,2010-08-13,"cheerleader uniform,sexy woman,daughter,overweight,funeral",PT1H42M,Adam Sandler | Salma Hayek | Kevin James,Dennis Dugan,Adam Sandler | Fred Wolf
Movie,Kick-Ass,https://www.imdb.com/title/tt1250777/,https://m.media-amazon.com/images/M/MV5BMTMzNzEzMDYxM15BMl5BanBnXkFtZTcwMTc0NTMxMw@@._V1_.jpg,,7.6,Action | Comedy | Crime,2017-10-05,"superhero action,comic book,superhero,loss of virginity,adoptive father",PT1H57M,Aaron Taylor-Johnson | Nicolas Cage | Chloë Grace Moretz,Matthew Vaughn,Jane Goldman | Matthew Vaughn | Mark Millar
Movie,Harry Potter and the Deathly Hallows: Part 1,https://www.imdb.com/title/tt0926084/,https://m.media-amazon.com/images/M/MV5BMTQ2OTE1Mjk0N15BMl5BanBnXkFtZTcwODE3MDAwNA@@._V1_.jpg,,7.7,Adventure | Family | Fantasy,2010-11-19,"magic,based on young adult novel,fear,cemetery,sequel",PT2H26M,Daniel Radcliffe | Emma Watson | Rupert Grint,David Yates,Steve Kloves | J.K. Rowling
TVSeries,Parenthood,https://www.imdb.com/title/tt1416765/,https://m.media-amazon.com/images/M/MV5BMjAwMjA3Mzg2N15BMl5BanBnXkFtZTgwMDY2Nzg3MjE@._V1_.jpg,,8.3,Comedy | Drama,2010-03-02,"male protagonist,2010s,21st century,domestic drama,sitcom",,Peter Krause | Lauren Graham | Dax Shepard,,Jason Katims
Movie,Alice in Wonderland,https://www.imdb.com/title/tt1014759/,https://m.media-amazon.com/images/M/MV5BMTg4NTQ1MTgzNV5BMl5BanBnXkFtZTcwMzY3MDg5Mg@@._V1_.jpg,,6.4,Adventure | Family | Fantasy,2010-03-12,"wonderland,alice character,alice in wonderland,caterpillar character,the mad hatter character",PT1H48M,Mia Wasikowska | Johnny Depp | Helena Bonham Carter,Tim Burton,Linda Woolverton | Lewis Carroll
