type,name,url,poster_url,description,rating,genre,datePublished,keywords,duration,actors,director,creator
TVSeries,Beef,https://www.imdb.com/title/tt14403178/,https://m.media-amazon.com/images/M/MV5BOTNjOGVkYTctYjE1ZS00MTBhLTlkOTAtMGUzODZlNjAxMGM3XkEyXkFqcGdeQXVyNDk3MzMwMTI@._V1_.jpg,,8.3,Comedy | Drama,2023-04-06,"dramedy,road,friend,joke,life",,Steven Yeun | Ali Wong | Joseph Lee,,Lee Sung Jin
Movie,The Super Mario Bros. Movie,https://www.imdb.com/title/tt6718170/,https://m.media-amazon.com/images/M/MV5BOTJhNzlmNzctNTU5Yy00N2YwLThhMjQtZDM0YjEzN2Y0ZjNhXkEyXkFqcGdeQXVyMTEwMTQ4MzU5._V1_.jpg,The story of The Super Mario Bros. on their journey through the Mushroom Kingdom.,7.3,Animation | Adventure | Comedy,2023-04-07,"based on video game,plumber,princess,cgi animation,computer animation",PT1H32M,Chris Pratt | Anya Taylor-Joy | Charlie Day,Aaron Horvath | Michael Jelenic | Pierre Leduc,Matthew Fogel
Movie,Evil Dead Rise,https://www.imdb.com/title/tt13345606/,https://m.media-amazon.com/images/M/MV5BMmZiN2VmMjktZDE5OC00ZWRmLWFlMmEtYWViMTY4NjM3ZmNkXkEyXkFqcGdeQXVyMTI2MTc2ODM3._V1_.jpg,"A twisted tale of two estranged sisters whose reunion is cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.",7.3,Horror,2023-04-21,"blood,book of the dead,chainsaw,necronomicon,sequel",PT1H37M,Mirabai Pease | Richard Crouchley | Anna-Maree Thomas,Lee Cronin,Lee Cronin
TVSeries,The Night Agent,https://www.imdb.com/title/tt13918776/,https://m.media-amazon.com/images/M/MV5BODgzYmFkZjAtYjhmNC00NDdkLTk4NGYtNDdiODVlNmE3ODkyXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_.jpg,"Low-level FBI agent Peter Sutherland works in the basement of the White House manning a phone that never rings - until the night it does, propelling him into a conspiracy that leads all the way to the Oval Office.",7.6,Action | Drama | Thriller,2023-03-23,"conspiracy,suspense,political drama,agent,mission",,Gabriel Basso | Luciane Buchanan | Fola Evans-Akingbola,,
TVSeries,Florida Man,https://www.imdb.com/title/tt14509130/,https://m.media-amazon.com/images/M/MV5BYzE2MzRiMmYtYWEwZC00ZmQ0LWIyY2EtM2Q0ZmJlZjEyZDZlXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,,6.8,Crime | Drama | Mystery,2023-04-13,"female topless nudity,police officer,home,force,florida",,Edgar Ramírez | Abbey Lee | Otmara Marrero,,Donald Todd
Movie,Ghosted,https://www.imdb.com/title/tt15326988/,https://m.media-amazon.com/images/M/MV5BNGMzYWZlYmYtNTcyMC00ZGVjLThjN2ItMjY4MjkwN2NlMjYwXkEyXkFqcGdeQXVyOTU0NjY1MDM@._V1_.jpg,"Cole falls head over heels for enigmatic Sadie, but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.",5.8,Action | Adventure | Comedy,2023-04-21,"shot in the head,epic action,secret agent,high concept comedy,no opening credits",PT1H56M,Chris Evans | Ana de Armas | Adrien Brody,Dexter Fletcher,Rhett Reese | Paul Wernick | Chris McKenna
TVSeries,Jury Duty,https://www.imdb.com/title/tt22074164/,https://m.media-amazon.com/images/M/MV5BOGI4NjI2YzMtMWYzNS00OTI4LTkwM2MtZTEzNDU2MDhhNTY0XkEyXkFqcGdeQXVyMTQzNTA5MzYz._V1_.jpg,,8.6,Comedy,2023-04-07,"actor,judicial system,jury duty,jury,trial",,James Marsden | Alan Barinholtz | Susan Berger,,Lee Eisenberg | Gene Stupnitsky
Movie,John Wick: Chapter 4,https://www.imdb.com/title/tt10366206/,https://m.media-amazon.com/images/M/MV5BMDExZGMyOTMtMDgyYi00NGIwLWJhMTEtOTdkZGFjNmZiMTEwXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_.jpg,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",8.2,Action | Crime | Thriller,2023-03-24,"the high table,fourth part,john wick character,neo noir,dog",PT2H49M,Keanu Reeves | Laurence Fishburne | George Georgiou,Chad Stahelski,Shay Hatten | Michael Finch | Derek Kolstad
Movie,Beau Is Afraid,https://www.imdb.com/title/tt13521006/,https://m.media-amazon.com/images/M/MV5BYTNhNWRmMDctYzE4OS00MzczLWJkODgtNzYxZTQxM2Y1YmM3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,"Following the sudden death of his mother, a mild-mannered but anxiety-ridden man confronts his darkest fears as he embarks on an epic, Kafkaesque odyssey back home.",7.3,Comedy | Drama | Horror,2023-04-21,"independent film,written by director,fear,mother son relationship,violence",PT2H59M,Joaquin Phoenix | Patti LuPone | Amy Ryan,Ari Aster,Ari Aster
Movie,Renfield,https://www.imdb.com/title/tt11358390/,https://m.media-amazon.com/images/M/MV5BNDIwYjVjMDMtOGYxMy00ZTRiLWE0YzktMjIwYmNhOGE4NGQ4XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg,"Renfield, Dracula's henchman and inmate at the lunatic asylum for decades, longs for a life away from the Count, his various demands, and all of the bloodshed that comes with them.",6.7,Comedy | Fantasy | Horror,2023-04-14,"inmate,dracula,vampire,gothic,character name as title",PT1H33M,Nicholas Hoult | Nicolas Cage | Awkwafina,Chris McKay,Ryan Ridley | Robert Kirkman
Movie,Dungeons & Dragons: Honor Among Thieves,https://www.imdb.com/title/tt2906216/,https://m.media-amazon.com/images/M/MV5BMmNlNmIyMjUtYTA4NC00MWFiLWJkODQtMzhjY2E0ZGZkMGYzXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_.jpg,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",7.6,Action | Adventure | Comedy,2023-05-17,"based on tabletop role playing game,dungeons and dragons,magic,based on game,dragon",PT2H14M,Chris Pine | Michelle Rodriguez | Regé-Jean Page,John Francis Daley | Jonathan Goldstein,Jonathan Goldstein | John Francis Daley | Michael Gilio
TVSeries,The Diplomat,https://www.imdb.com/title/tt17491088/,https://m.media-amazon.com/images/M/MV5BM2Y5YTFjMjEtM2Q0OS00NzhlLWFmYjQtZjczYzQ2NDI0NTRjXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_.jpg,"In the midst of an international crisis, Kate Wyler, a career diplomat, lands in a high-profile job for which she is not suited, with tectonic implications for her marriage and her political future.",8.2,Drama | Thriller,2023-04-20,"political drama,diplomat,politics,job,marriage",,Keri Russell | Rufus Sewell | David Gyasi,,Debora Cahn
TVSeries,The Last of Us,https://www.imdb.com/title/tt3581920/,https://m.media-amazon.com/images/M/MV5BZGUzYTI3M2EtZmM0Yy00NGUyLWI4ODEtN2Q3ZGJlYzhhZjU3XkEyXkFqcGdeQXVyNTM0OTY1OQ@@._V1_.jpg,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.",8.8,Action | Adventure | Drama,2023-01-15,"based on video game,post apocalypse,survival,pandemic,violence",,Pedro Pascal | Bella Ramsey | Anna Torv,,Neil Druckmann | Craig Mazin
TVSeries,The Last Thing He Told Me,https://www.imdb.com/title/tt13745850/,https://m.media-amazon.com/images/M/MV5BZTEzZjA2MGMtN2E3NC00NGFkLTlkMjItOTU2ZmRkM2FlNmYzXkEyXkFqcGdeQXVyMTA3MTI2ODc5._V1_.jpg,A woman forms an unexpected relationship with her 16-year-old stepdaughter while searching for the truth about why her husband has mysteriously disappeared.,7,Drama | Mystery | Thriller,2023-04-14,woman,,Jennifer Garner | Nikolaj Coster-Waldau | Angourie Rice,,Laura Dave | Josh Singer
Movie,The Pope's Exorcist,https://www.imdb.com/title/tt13375076/,https://m.media-amazon.com/images/M/MV5BNWViMDhmM2YtM2VlZi00MDEzLWEwMjItOWIwNWI0M2M3ZTU0XkEyXkFqcGdeQXVyMTYzMTY3OTE3._V1_.jpg,,6.2,Horror | Thriller,2023-04-07,"supernatural horror,young,conspiracy,motorscooter,exorcism",PT1H43M,Russell Crowe | Daniel Zovatto | Alex Essoe,Julius Avery,Michael Petroni | Evan Spiliotopoulos | R. Dean McCreary
Movie,Air,https://www.imdb.com/title/tt16419074/,https://m.media-amazon.com/images/M/MV5BYmNlOTNlYjUtM2U3Yy00M2ZjLTkxZDQtN2NiNGZiZDI0ZjE3XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg,"Follows the history of shoe salesman Sonny Vaccaro, and how he led Nike in its pursuit of the greatest athlete in the history of basketball, Michael Jordan.",7.7,Drama | Sport,2023-04-05,"nike,1980s,dramedy,shoe,shoe company",PT1H51M,Matt Damon | Jason Bateman | Ben Affleck,Ben Affleck,Alex Convery
