type,name,url,poster_url,description,rating,genre,datePublished,keywords,duration,actors,director,creator
TVSeries,The Boys,https://www.imdb.com/title/tt1190634/,https://m.media-amazon.com/images/M/MV5BNzIwZTdjMmQtNWFiMi00NGFjLWI1NTEtN2FlNmM2YTE1NTQxXkEyXkFqcGdeQXVyODAzMDY0MTY@._V1_.jpg,,8.7,Action | Comedy | Crime,2019-07-26,"gore,violence,black comedy,blood,enhancement drug",,Karl Urban | Jack Quaid | Antony Starr,,Eric Kripke
Movie,John Wick: Chapter 3 - Parabellum,https://www.imdb.com/title/tt6146586/,https://m.media-amazon.com/images/M/MV5BZjE5MjUzYWUtZTdjOS00MDViLWJhZmItN2U4MzZkYzFhOGNlXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_.jpg,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",7.4,Action | Crime | Thriller,2019-05-17,"sequel,kicked by a horse,wanted man,past coming back to haunt,excommunicado",PT2H10M,Keanu Reeves | Halle Berry | Ian McShane,Chad Stahelski,Derek Kolstad | Shay Hatten | Chris Collins
Movie,Midsommar,https://www.imdb.com/title/tt8772262/,https://m.media-amazon.com/images/M/MV5BMzQxNzQzOTQwM15BMl5BanBnXkFtZTgwMDQ2NTcwODM@._V1_.jpg,A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,7.1,Drama | Horror | Mystery,2019-07-03,"religious cult,cult,grief,burned alive,summer festival",PT2H28M,Florence Pugh | Jack Reynor | Vilhelm Blomgren,Ari Aster,Ari Aster
Movie,Murder Mystery,https://www.imdb.com/title/tt1618434/,https://m.media-amazon.com/images/M/MV5BNTA2YTI5YjUtZWI4Zi00NWQ5LWFiYmEtOTBmNTUyNDAwNjllXkEyXkFqcGdeQXVyNjIzNzM4NzA@._V1_.jpg,,6,Action | Comedy | Crime,2019-06-14,"murder,boat,detective,pokies,lie",PT1H37M,Adam Sandler | Jennifer Aniston | Luke Evans,Kyle Newacheck,James Vanderbilt
Movie,Once Upon a Time in... Hollywood,https://www.imdb.com/title/tt7131622/,https://m.media-amazon.com/images/M/MV5BMTYxNjE1NzE4Nl5BMl5BanBnXkFtZTgwNDkzNjc2NzM@._V1_.jpg,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,7.6,Comedy | Drama,2019-08-15,"manson murders,place in title,1960s,violence,film within a film",PT2H41M,Leonardo DiCaprio | Brad Pitt | Margot Robbie,Quentin Tarantino,Quentin Tarantino
TVSeries,The Witcher,https://www.imdb.com/title/tt5180504/,https://m.media-amazon.com/images/M/MV5BMDEwOWVlY2EtMWI0ZC00OWVmLWJmZGItYTk3YjYzN2Y0YmFkXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg,,8.1,Action | Adventure | Drama,2019-12-20,"violence,magic,monster hunter,warrior queen,man in leather clothes",,Henry Cavill | Freya Allan | Anya Chalotra,,Lauren Schmidt
Movie,I See You,https://www.imdb.com/title/tt6079516/,https://m.media-amazon.com/images/M/MV5BNzVkOWM5YTEtMDdkNi00YjMzLWEzNWEtODEwN2IyZTc4Yjg2XkEyXkFqcGdeQXVyMjc5MTg0MzQ@._V1_.jpg,"A policeman and his doctor wife have some marriage problems and the son blames the mother. For his job, the policeman investigates a case of a missing boy. The possible kidnapping looks like some cases from a few years ago.",6.8,Crime | Drama | Mystery,2019-12-10,"phrogging,kidnapping,infidelity,home invasion,murder",PT1H38M,Helen Hunt | Jon Tenney | Owen Teague,Adam Randall,Devon Graye
TVSeries,Carnival Row,https://www.imdb.com/title/tt0489974/,https://m.media-amazon.com/images/M/MV5BZGY4ZDFiYWYtYzMwZS00ZmVlLWEwOGEtM2I1ZjcxNTFjMTRiXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_.jpg,"A human detective and a fairy rekindle a dangerous affair in a Victorian fantasy world, where the city's uneasy peace collapses when a string of murders reveals an unimaginable monster.",7.7,Crime | Drama | Fantasy,2019-08-30,"social injustice,steampunk,fairy,monster,incest",,Orlando Bloom | Cara Delevingne | Simon McBurney,,Travis Beacham | René Echevarria
Movie,Knives Out,https://www.imdb.com/title/tt8946378/,https://m.media-amazon.com/images/M/MV5BMGUwZjliMTAtNzAxZi00MWNiLWE2NzgtZGUxMGQxZjhhNDRiXkEyXkFqcGdeQXVyNjU1NzU3MzE@._V1_.jpg,"A detective investigates the death of the patriarch of an eccentric, combative family.",7.9,Comedy | Crime | Drama,2019-11-27,"private detective,vomiting,murder investigation,suspected suicide,last will and testament",PT2H10M,Daniel Craig | Chris Evans | Ana de Armas,Rian Johnson,Rian Johnson
Movie,The Gentlemen,https://www.imdb.com/title/tt8367814/,https://m.media-amazon.com/images/M/MV5BMTlkMmVmYjktYTc2NC00ZGZjLWEyOWUtMjc2MDMwMjQwOTA5XkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_.jpg,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",7.8,Action | Comedy | Crime,2020-01-31,"british,gangster,marijuana farm,drugs,voice over narration",PT1H53M,Matthew McConaughey | Charlie Hunnam | Michelle Dockery,Guy Ritchie,Guy Ritchie | Ivan Atkinson | Marn Davies
